Word Spacing,Pen Pressure_LOW,Baseline_DESCENDING,Baseline_STRAIGHT,Word Size_NORMAL,Word Size_SMALL,Emotion,Attention,Optimism
530.4616615,0,1,0,0,1,,,
403.885926,0,0,1,0,1,,,
214.3673566,1,0,1,0,1,,,
390.7992362,0,1,0,0,1,,,
436.084239,1,0,1,0,1,,,
349.2254019,1,0,1,0,0,,,
390.9268897,0,0,1,1,0,,,
357.658248,0,1,0,0,1,,,
540.7124929,1,0,1,0,0,,,
449.6246622,0,0,1,0,1,,,
189.8717045,0,0,1,0,1,,,
356.1560793,1,0,1,1,0,,,
259.2181966,1,0,1,0,1,,,
192.3202814,1,0,1,0,1,,,
87.0,1,0,1,0,1,,,
498.0855129,1,0,1,0,1,,,
471.3558775,1,0,1,1,0,,,
279.246294,0,0,1,1,0,,,
288.3240431,1,0,1,1,0,,,
447.54675,1,0,1,0,1,,,
356.2334837,0,0,1,0,1,,,
476.8760328,1,0,1,0,1,,,
250.4314031,1,0,1,0,1,,,
422.3174929,1,0,1,1,0,,,
417.6411356,0,0,1,0,1,,,
487.3284729,1,0,1,0,0,,,
252.2001366,0,0,1,0,1,,,
259.8691322,0,0,1,0,1,,,
233.4169972,1,0,1,0,1,,,
76.0,1,1,0,0,1,,,
480.0677036,1,0,1,0,0,,,
396.1873872,0,0,0,0,1,,,
287.5475036,1,0,1,1,0,,,
301.0038756,1,0,1,0,1,,,
396.4942488,0,1,0,0,0,,,
360.9679158,0,1,0,0,1,,,
382.3694154,1,0,1,0,1,,,
388.9061127,1,0,1,0,0,,,
363.9302303,0,0,1,0,1,,,
633.2021794,1,1,0,0,1,,,
86.45229899,0,0,1,0,1,,,
220.7721319,0,0,1,1,0,,,
318.738043,1,0,1,0,1,,,
478.1269111,1,0,1,0,1,,,
524.5801885,1,0,1,0,1,,,
270.4218042,1,0,1,0,1,,,
317.7107564,0,0,1,0,1,,,
287.7727385,1,0,1,0,1,,,
491.7680862,1,0,1,0,1,,,
91.16257345,1,0,1,1,0,,,
385.8258832,1,0,1,1,0,,,
368.6919743,1,1,0,0,1,,,
338.9828954,1,0,1,0,1,,,
323.6207191,1,1,0,1,0,,,
399.4138442,1,0,1,0,1,,,
397.9965543,1,0,1,0,0,,,
352.9471732,1,0,1,0,0,,,
179.5270033,1,0,1,1,0,,,
861.580328,1,0,1,0,1,,,
563.9138307,0,0,1,0,1,,,
332.3302553,1,0,1,1,0,,,
332.3062861,1,0,1,0,1,,,
219.244189,1,0,1,0,1,,,
537.9071939,1,0,1,0,1,,,
231.083711,1,1,0,0,1,,,
382.4126602,0,0,1,1,0,,,
380.6045819,1,0,1,0,1,,,
266.0076809,1,0,1,0,1,,,
126.3441705,1,0,1,0,0,,,
471.38176,1,0,1,0,1,,,
241.2677591,1,0,1,0,1,,,
464.4169096,1,1,0,0,1,,,
415.844874,0,0,1,0,1,,,
464.2467017,1,0,1,0,1,,,
407.8496178,0,0,1,1,0,,,
179.477018,0,0,1,0,1,,,
250.838448,0,0,1,1,0,,,
382.9597786,1,0,1,1,0,,,
306.5885399,0,0,1,0,1,,,
293.5991139,0,0,1,0,1,,,
349.5556362,0,0,1,0,1,,,
381.6002601,1,0,1,1,0,,,
296.0125953,0,0,0,0,0,,,
37.55862138,1,0,1,0,0,,,
66.66499096,0,0,1,0,1,,,
323.500134,1,0,1,1,0,,,
411.5450103,1,0,1,1,0,,,
148.2238269,1,0,1,1,0,,,
466.4151952,0,0,1,0,1,,,
342.4819162,0,0,0,1,0,,,
509.9171335,1,0,1,0,0,,,
528.5496551,0,0,1,0,1,,,
121.0444109,0,0,1,0,0,,,
242.488179,1,0,1,0,1,,,
90.02777349,0,0,1,0,0,,,
346.8048708,1,0,1,0,0,,,
530.5974165,0,1,0,0,0,,,
371.23841,0,0,1,0,1,,,
138.6328338,0,0,1,0,1,,,
169.8222573,1,0,0,0,0,,,
344.1451474,1,0,1,0,0,,,
494.4553079,0,0,1,0,1,,,
216.9469981,1,0,1,0,1,,,
437.5672818,0,0,1,0,1,,,
415.9352621,1,0,1,0,0,,,
456.7923451,1,0,1,0,1,,,
