Unnamed: 0,Word Spacing,Size,Pen Pressure,Baseline
115,283.5428303,0.955,121,DESCENDING
116,410.8180431,1.416955899,61,DESCENDING
117,293.4460727,0.6542031699,33,STRAIGHT
118,682.5745381,1.268355171,77,ASSENDING
119,316.1054773,0.7295336425,170,STRAIGHT
120,366.863467,3.395161164,103,STRAIGHT
121,399.2321647,0.8852492417,83,STRAIGHT
122,329.0354944,0.5006406745,66,STRAIGHT
123,472.0309827,1.540793616,70,STRAIGHT
124,124.8165079,0.8190264052,69,STRAIGHT
125,112.298587,1.175783749,63,STRAIGHT
126,295.8261183,0.427623779,80,STRAIGHT
127,60,0.7643705674,171,STRAIGHT
128,388.7277425,0.7348515735,169,STRAIGHT
129,512.5673226,1.604853799,164,STRAIGHT
130,509.4926859,6.135502987,168,DESCENDING
131,288.2682241,1.121068456,153,STRAIGHT
132,400.5017958,0.7438330203,134,DESCENDING
133,286.0612679,1.024192975,161,STRAIGHT
134,438.0368096,0.6630674999,129,DESCENDING
135,429.2630387,2.375443341,102,STRAIGHT
136,199.9481172,0.4633934332,101,STRAIGHT
137,163.6867837,0.5524076465,113,STRAIGHT
138,250.0452199,0.4221201728,118,STRAIGHT
139,399.5155984,0.9233176652,158,STRAIGHT
140,348.2334681,0.6688482726,159,STRAIGHT
141,368.6528313,0.580913518,189,STRAIGHT
142,195.2061108,6.636254648,199,STRAIGHT
143,465.8529969,0.8657312938,181,STRAIGHT
144,167.0988583,1.490616315,161,STRAIGHT
145,264.1863218,0.4552066675,140,STRAIGHT
146,328.8348077,0.8868126048,152,STRAIGHT
147,381.7181882,1.223841356,106,STRAIGHT
148,403.5583774,0.7653953469,93,DESCENDING
149,369.8612436,0.7087197412,33,STRAIGHT
150,366.6822702,0.9213232142,51,STRAIGHT
151,462.2299198,0.5403939092,178,STRAIGHT
152,228.2582267,1.555899364,169,STRAIGHT
153,153.3753566,0.8040917423,140,STRAIGHT
154,414.7121449,1.019811511,87,STRAIGHT
155,757.6157576,0.3922840363,62,STRAIGHT
156,371.0615891,1.33424947,74,STRAIGHT
157,323.4245998,1.040670554,69,DESCENDING
158,363.8656204,0.4322103902,78,STRAIGHT
159,229.0545951,0.9100965459,121,STRAIGHT
160,295.8459775,4.835526821,174,STRAIGHT
161,557.5560121,0.8489863532,182,STRAIGHT
162,252.3885893,0.6504479621,160,STRAIGHT
163,26.59016994,2.682827748,159,STRAIGHT
164,386.4835315,0.7686371791,162,DESCENDING
165,530.4616615,0.5325947557,148,DESCENDING
166,403.885926,0.2731909069,135,STRAIGHT
167,214.3673566,0.6415165393,153,STRAIGHT
168,390.7992362,0.955,151,DESCENDING
169,436.084239,0.5774772293,131,STRAIGHT
170,349.2254019,2.631706931,107,STRAIGHT
171,390.9268897,1.096735626,140,STRAIGHT
172,357.658248,0.686877399,159,DESCENDING
173,540.7124929,4.910607019,194,STRAIGHT
174,449.6246622,0.4807805081,186,STRAIGHT
175,189.8717045,0.8892053681,173,STRAIGHT
176,356.1560793,1.02171145,144,STRAIGHT
177,259.2181966,0.6213311078,106,STRAIGHT
178,192.3202814,0.7630782265,50,STRAIGHT
179,87,0.730591976,38,STRAIGHT
180,498.0855129,0.7096403667,135,STRAIGHT
181,471.3558775,1.306252798,139,STRAIGHT
182,279.246294,1.072827235,120,STRAIGHT
183,288.3240431,1.326997617,97,STRAIGHT
184,447.54675,0.7813506867,86,STRAIGHT
185,356.2334837,0.7281043827,83,STRAIGHT
186,476.8760328,0.6604301371,60,STRAIGHT
187,250.4314031,0.6557979555,62,STRAIGHT
188,422.3174929,1.004115165,144,STRAIGHT
189,417.6411356,0.261115293,189,STRAIGHT
190,487.3284729,2.259777361,189,STRAIGHT
191,252.2001366,0.6257768409,163,STRAIGHT
192,259.8691322,0.6710658865,171,STRAIGHT
193,233.4169972,0.8603314711,156,STRAIGHT
194,76,0.5820245508,145,DESCENDING
195,480.0677036,2.421661217,145,STRAIGHT
196,396.1873872,0.5745629076,164,ASSENDING
197,287.5475036,1.025535576,154,STRAIGHT
198,301.0038756,0.3232008575,136,STRAIGHT
199,396.4942488,4.33432157,167,DESCENDING
200,360.9679158,0.8549567138,186,DESCENDING
201,382.3694154,0.6767389757,168,STRAIGHT
202,388.9061127,1.547118984,166,STRAIGHT
203,363.9302303,0.3845059051,193,STRAIGHT
204,633.2021794,0.6872434638,173,DESCENDING
205,86.45229899,0.6997558152,116,STRAIGHT
206,220.7721319,1.435187392,117,STRAIGHT
207,318.738043,0.8784478614,94,STRAIGHT
208,478.1269111,0.7335838235,37,STRAIGHT
209,524.5801885,0.5387648551,111,STRAIGHT
210,270.4218042,0.7420035659,165,STRAIGHT
211,317.7107564,0.891895585,121,STRAIGHT
212,287.7727385,0.4272554292,99,STRAIGHT
213,491.7680862,0.5831959686,112,STRAIGHT
214,91.16257345,1.445602567,112,STRAIGHT
215,385.8258832,1.321546534,91,STRAIGHT
216,368.6919743,0.4066760804,48,DESCENDING
217,338.9828954,0.7915886534,63,STRAIGHT
218,323.6207191,1.084330364,82,DESCENDING
219,399.4138442,0.4384546818,183,STRAIGHT
220,397.9965543,1.833617137,167,STRAIGHT
221,352.9471732,5.603531874,179,STRAIGHT
222,179.5270033,1.054292017,179,STRAIGHT
223,861.580328,0.955,161,STRAIGHT
224,563.9138307,0.4638125195,162,STRAIGHT
225,332.3302553,1.317099716,165,STRAIGHT
226,332.3062861,0.9601174247,150,STRAIGHT
227,219.244189,0.733068201,159,STRAIGHT
228,537.9071939,0.6552632055,178,STRAIGHT
229,231.083711,0.7115814127,171,DESCENDING
230,382.4126602,1.260693082,163,STRAIGHT
231,380.6045819,0.9313337643,154,STRAIGHT
232,266.0076809,0.9813184585,144,STRAIGHT
233,126.3441705,4.044669152,155,STRAIGHT
234,471.38176,0.379014561,97,STRAIGHT
235,241.2677591,0.7428114089,34,STRAIGHT
236,464.4169096,0.6475690218,106,DESCENDING
237,415.844874,0.6442673898,192,STRAIGHT
238,464.2467017,0.5277229464,149,STRAIGHT
239,407.8496178,1.303209815,127,STRAIGHT
240,179.477018,0.4945020631,119,STRAIGHT
241,250.838448,1.154224541,122,STRAIGHT
242,382.9597786,1.154468953,160,STRAIGHT
243,306.5885399,0.955,135,STRAIGHT
244,293.5991139,0.8220306388,74,STRAIGHT
